City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
477,kudymkar,59.0173,54.656,-8.93,96,100,3.74,RU,1707364555
478,kangaba,11.9333,-8.4167,22.89,13,61,2.63,ML,1707364555
479,aldama,22.9167,-98.0667,20.21,88,40,1.59,MX,1707364555
480,saint-leu,-21.15,55.2833,26.48,77,86,0.96,RE,1707364555
481,nemuro,43.3236,145.575,-2.48,74,67,4.39,JP,1707364555
482,doka,13.5167,35.7667,20.5,31,33,3.91,SD,1707364555
483,mwinilunga,-11.7358,24.4293,15.55,94,77,0.19,ZM,1707364555
484,trairi,-3.2778,-39.2689,27.4,78,74,4.55,BR,1707364426
485,khandyga,62.6667,135.6,-34.45,93,74,0.05,RU,1707364556
486,zhalantun,48.0,122.7167,-8.01,66,55,2.1,CN,1707364556
487,flin flon,54.7682,-101.865,-9.71,95,100,2.75,CA,1707364556
488,manicore,-5.8092,-61.3003,23.7,98,99,0.4,BR,1707364544
489,la huaca,-4.9117,-80.96,27.53,70,86,3.75,PE,1707364556
490,swainsboro,32.5974,-82.3337,4.94,87,0,0.0,US,1707364556
491,ebon,4.582,168.6964,28.44,77,69,9.12,MH,1707364557
492,kuacjok,8.3002,27.9903,20.84,24,36,2.39,SS,1707364557
493,ancud,-41.8697,-73.8203,10.16,85,83,3.13,CL,1707364557
494,portland,45.5234,-122.6762,7.56,87,75,2.06,US,1707364310
495,antofagasta,-23.65,-70.4,22.6,80,35,1.81,CL,1707364551
496,kirakira,-10.4544,161.9205,29.98,75,100,7.9,SB,1707364557
497,sierpc,52.8568,19.6691,-2.25,86,100,3.44,PL,1707364557
498,valjevo,44.2751,19.8982,9.33,78,58,2.67,RS,1707364558
499,palmares do sul,-30.2578,-50.5097,23.18,91,84,4.52,BR,1707364558
500,benguela,-12.5763,13.4055,26.92,79,100,1.32,AO,1707364558
501,jinghong,21.991,100.7341,28.16,28,0,0.74,CN,1707364558
502,bam,29.106,58.357,11.11,26,0,2.36,IR,1707364558
503,tarawa,1.419,172.984,31.05,74,75,6.17,KI,1707364558
504,swan hill,-35.3378,143.5544,30.86,24,0,1.92,AU,1707364289
505,shancheng,34.7953,116.0817,4.2,59,65,1.68,CN,1707364558
506,quitilipi,-26.8691,-60.2168,28.1,54,23,2.62,AR,1707364558
507,balabac,7.9868,117.0645,28.38,72,37,4.77,PH,1707364559
508,tucurui,-3.7661,-49.6725,23.0,98,63,1.39,BR,1707364559
509,zhangye,38.9342,100.4517,-1.58,43,4,3.95,CN,1707364559
510,lensk,60.7253,114.9278,-21.69,93,61,0.36,RU,1707364559
511,mosjoen,65.836,13.1908,-6.71,100,100,1.03,NO,1707364559
512,taunggyi,20.7833,97.0333,24.38,26,0,1.67,MM,1707364559
513,fukuecho,32.6881,128.8419,11.2,62,75,5.66,JP,1707364559
514,north battleford,52.7834,-108.2847,-5.33,93,100,2.57,CA,1707364560
515,okhotsk,59.3833,143.3,-18.96,79,88,4.32,RU,1707364560
516,arteche,12.2645,125.4048,26.28,81,53,3.16,PH,1707364560
517,chiras,35.4167,65.9823,-8.04,57,17,4.19,AF,1707364560
518,kitee,62.1,30.15,-18.77,98,33,1.98,FI,1707364560
519,tra mhor,52.1624,-7.1524,5.9,76,100,5.36,IE,1707364560
520,tsiombe,-25.3,45.4833,23.39,81,2,1.31,MG,1707364560
521,mar''ina horka,53.509,28.147,-4.88,79,66,3.1,BY,1707364560
522,lagunas,-5.2269,-75.6753,24.02,91,54,0.7,PE,1707364561
523,segezha,63.7415,34.3222,-25.49,100,94,2.81,RU,1707364561
524,puerto deseado,-47.7503,-65.8938,12.73,60,1,5.26,AR,1707364561
525,kapa'a,22.0752,-159.319,26.99,73,100,6.69,US,1707364558
526,kirkwood,38.5834,-90.4068,10.78,68,100,4.63,US,1707364374
527,laguna,38.421,-121.4238,8.36,91,100,4.12,US,1707364511
528,broken hill,-31.95,141.4333,30.9,23,34,6.67,AU,1707364307
529,kismayo,-0.3582,42.5454,27.2,83,23,6.29,SO,1707364562
530,birganj,27.0104,84.8774,15.93,36,1,2.84,NP,1707364562
531,baruun-urt,46.6806,113.2792,-19.39,95,98,4.84,MN,1707364562
532,bandarbeyla,9.4942,50.8122,24.65,73,83,5.96,SO,1707364562
533,ziro,27.6333,93.8333,3.41,85,99,0.45,IN,1707364562
534,terrace,54.5163,-128.6035,-0.05,74,100,3.09,CA,1707364562
535,kolondieba,11.0882,-6.8926,22.99,15,3,2.84,ML,1707364562
536,lobujya,27.95,86.8167,-11.7,31,0,2.62,NP,1707364563
537,la ronge,55.1001,-105.2842,-8.86,86,100,3.09,CA,1707364543
538,molde,62.7375,7.1591,-8.09,93,100,3.09,NO,1707364563
539,rabo de peixe,37.8,-25.5833,17.77,99,75,12.35,PT,1707364563
540,miracema do tocantins,-9.5618,-48.3967,24.34,88,98,0.42,BR,1707364563
541,muang phonsavan,19.45,103.2167,28.44,19,0,2.0,LA,1707364563
542,viseu,40.661,-7.9097,8.88,93,100,2.76,PT,1707364563
543,tarauaca,-8.1614,-70.7656,23.74,90,56,0.92,BR,1707364563
544,tabriz,38.08,46.2919,-1.3,80,0,2.06,IR,1707364563
545,kaltan,53.5347,87.2457,-8.44,85,98,1.81,RU,1707364564
546,llallagua,-18.4167,-66.6333,8.08,72,100,1.06,BO,1707364564
547,papao,-17.75,-149.55,27.82,91,100,16.75,PF,1707364564
548,balykshi,47.0667,51.8667,3.0,93,40,8.0,KZ,1707364564
549,lourdes,43.1,-0.05,10.71,71,100,2.57,FR,1707364564
550,sola,-13.8833,167.55,33.37,62,75,2.57,VU,1707364564
551,qoryooley,1.7878,44.53,25.63,80,7,5.66,SO,1707364564
552,puerto armuelles,8.2833,-82.8667,28.99,64,53,3.13,PA,1707364565
553,darlowo,54.421,16.4107,0.67,77,22,4.6,PL,1707364565
554,murun-kuren,49.6342,100.1625,-17.16,79,9,1.56,MN,1707364565
555,valle de la pascua,9.2155,-66.0073,26.96,74,94,2.7,VE,1707364565
556,port shepstone,-30.7414,30.455,22.48,78,90,3.44,ZA,1707364565
557,constitucion,-35.3333,-72.4167,16.49,66,1,5.46,CL,1707364565
558,santyoku,37.4406,129.1708,4.7,58,1,1.62,KR,1707364565
559,floro,61.5996,5.0328,-3.02,80,40,4.63,NO,1707364565
560,sovetskaya gavan',48.9723,140.2878,-10.5,71,100,2.54,RU,1707364566
561,soe,-9.8607,124.284,26.49,66,84,3.66,ID,1707364566
